I understand the information presented on FMCG product labels and am satisfied with the clarity of these claims.,"How often do you read FMCG product labels to check for environmental claims (e.g., recyclable, sustainable, biodegradable)?",Have you ever seen an FMCG product that made environmental claims on its label that you found to be exaggerated or false?,How confident are you in identifying misleading or false environmental claims on FMCG product labels?
0.25,0.25,1.0,0.25
0.75,0.5,0.5,0.25
0.5,0.5,1.0,0.25
0.75,0.25,1.0,0.25
0.5,0.5,0.5,0.5
0.75,0.25,1.0,0.25
0.75,0.75,0.0,0.0
0.25,0.75,0.5,0.25
0.5,0.75,1.0,0.5
0.25,0.25,1.0,0.0
0.75,1.0,1.0,0.25
0.75,0.25,1.0,0.25
0.5,0.0,1.0,0.25
0.75,0.75,0.5,0.25
0.0,0.0,0.0,0.25
0.5,0.25,0.5,0.25
0.75,0.25,0.0,0.25
0.75,0.25,0.5,0.0
0.75,0.5,1.0,0.25
0.75,0.0,0.5,0.0
0.25,0.5,0.5,0.5
0.5,0.5,0.0,0.5
0.75,0.75,1.0,0.5
0.25,0.25,1.0,0.5
0.5,0.25,0.5,0.25
0.5,0.25,0.5,0.5
0.75,0.25,0.0,0.75
0.75,0.75,1.0,0.5
0.25,0.25,0.5,0.25
0.75,0.25,0.5,0.25
0.25,0.75,0.0,0.25
0.5,0.0,0.5,0.0
0.25,0.25,0.0,0.0
0.25,0.25,1.0,0.25
0.5,0.5,1.0,0.5
0.25,0.25,0.5,0.25
0.75,0.75,1.0,0.25
0.75,0.25,1.0,0.5
0.75,0.25,1.0,0.0
0.75,0.25,0.5,0.5
0.5,0.75,0.0,0.5
0.5,0.25,0.5,0.0
0.25,0.5,0.5,0.75
0.25,0.25,0.5,0.25
1.0,0.25,0.0,0.75
0.25,0.25,0.0,0.25
0.5,0.0,0.5,0.0
0.75,1.0,1.0,0.25
1.0,0.75,1.0,0.75
0.75,0.75,1.0,0.75
0.5,0.5,0.5,0.25
0.75,0.5,0.5,0.25
0.0,0.25,0.5,0.5
0.5,0.25,1.0,0.25
0.75,0.5,1.0,0.5
0.0,0.0,1.0,0.25
0.25,0.25,0.5,0.5
0.75,0.25,0.5,0.5
0.5,0.25,0.5,0.5
0.5,0.0,0.5,0.0
0.75,0.0,1.0,0.5
0.5,0.5,0.5,0.0
